"JUR","PARID","TAXYR","FILEYR","INVENTORY_TYPE","INVENTORY_MONTH","INVENTORY_AMT"
"3","2256-STCLAUDEAVP","2025","2025","02","8","7980"
"3","2256-STCLAUDEAVP","2025","2025","02","9","7980"
"3","2256-STCLAUDEAVP","2025","2025","02","10","7980"
"3","2256-STCLAUDEAVP","2025","2025","02","11","7980"
"3","2256-STCLAUDEAVP","2025","2025","02","12","7980"
"3","2258-STCLAUDEAVP","2025","2025","02","1","6790"
"3","2258-STCLAUDEAVP","2025","2025","02","2","6790"
"3","2258-STCLAUDEAVP","2025","2025","02","3","6790"
"3","2258-STCLAUDEAVP","2025","2025","02","4","6790"
"3","2258-STCLAUDEAVP","2025","2025","02","5","6790"
"3","2258-STCLAUDEAVP","2025","2025","02","6","6790"
"3","2258-STCLAUDEAVP","2025","2025","02","7","6790"
"3","2258-STCLAUDEAVP","2025","2025","02","8","6790"
"3","2258-STCLAUDEAVP","2025","2025","02","9","6790"
"3","2258-STCLAUDEAVP","2025","2025","02","10","6790"
"3","2258-STCLAUDEAVP","2025","2025","02","11","6790"
"3","2258-STCLAUDEAVP","2025","2025","02","12","6790"
"4","1114-JOSEPHINESTP","2025","2025","01","1","728"
"4","1114-JOSEPHINESTP","2025","2025","01","2","185"
"4","1114-JOSEPHINESTP","2025","2025","01","3","1027"
"4","1114-JOSEPHINESTP","2025","2025","01","4","1143"
"4","1114-JOSEPHINESTP","2025","2025","01","5","1367"
"4","1114-JOSEPHINESTP","2025","2025","01","6","764"
"4","1114-JOSEPHINESTP","2025","2025","01","7","312"
"4","1114-JOSEPHINESTP","2025","2025","01","8","1432"
"4","1114-JOSEPHINESTP","2025","2025","01","10","1189"
"4","1114-JOSEPHINESTP","2025","2025","01","11","54"
"4","1114-JOSEPHINESTP","2025","2025","01","12","342"
"2","5101-CANALBDP","2025","2025","02","1","200"
"2","5101-CANALBDP","2025","2025","02","2","152"
"2","5101-CANALBDP","2025","2025","02","3","160"
"2","5101-CANALBDP","2025","2025","02","4","244"
"2","5101-CANALBDP","2025","2025","02","5","158"
"2","5101-CANALBDP","2025","2025","02","6","170"
"2","5101-CANALBDP","2025","2025","02","7","166"
"2","5101-CANALBDP","2025","2025","02","8","108"
"2","5101-CANALBDP","2025","2025","02","9","167"
"2","5101-CANALBDP","2025","2025","02","10","183"
"2","5101-CANALBDP","2025","2025","02","11","159"
"2","5101-CANALBDP","2025","2025","02","12","153"
"1","LEASEDEQUIPMENT3052P","2025","2025","01","12","2944"
"2","TOULOUSESTP","2025","2025","01","1","25125"
"2","TOULOUSESTP","2025","2025","02","1","23285"
"2","TOULOUSESTP","2025","2025","01","2","21513"
"2","TOULOUSESTP","2025","2025","02","2","34907"
"2","TOULOUSESTP","2025","2025","01","3","23367"
"2","TOULOUSESTP","2025","2025","02","3","17562"
"2","TOULOUSESTP","2025","2025","01","4","23666"
"2","TOULOUSESTP","2025","2025","02","4","18033"
"2","TOULOUSESTP","2025","2025","01","5","20522"
"2","TOULOUSESTP","2025","2025","02","5","13592"
"2","TOULOUSESTP","2025","2025","01","6","22958"
"2","TOULOUSESTP","2025","2025","02","6","15942"
"2","TOULOUSESTP","2025","2025","01","7","22683"
"2","TOULOUSESTP","2025","2025","02","7","17246"
"2","TOULOUSESTP","2025","2025","01","8","20896"
"2","TOULOUSESTP","2025","2025","02","8","19721"
"2","TOULOUSESTP","2025","2025","01","9","20799"
"2","TOULOUSESTP","2025","2025","02","9","15352"
"2","TOULOUSESTP","2025","2025","01","10","19111"
"2","TOULOUSESTP","2025","2025","02","10","15101"
"2","TOULOUSESTP","2025","2025","01","11","16556"
"2","TOULOUSESTP","2025","2025","02","11","12662"
"2","TOULOUSESTP","2025","2025","01","12","12845"
"2","TOULOUSESTP","2025","2025","02","12","10222"
"6","3450-MAGAZINESTAP","2025","2025","99","1","135650"
"6","3450-MAGAZINESTAP","2025","2025","99","12","181085"
"1","620-SPETERSSTP","2025","2025","05","1","200"
"1","620-SPETERSSTP","2025","2025","05","2","500"
"1","620-SPETERSSTP","2025","2025","05","3","300"
"1","620-SPETERSSTP","2025","2025","05","4","300"
"1","620-SPETERSSTP","2025","2025","05","5","300"
"1","620-SPETERSSTP","2025","2025","05","6","150"
"1","620-SPETERSSTP","2025","2025","05","7","150"
"1","620-SPETERSSTP","2025","2025","05","8","150"
"1","620-SPETERSSTP","2025","2025","05","9","150"
"1","620-SPETERSSTP","2025","2025","05","10","250"
"1","620-SPETERSSTP","2025","2025","05","11","200"
"1","620-SPETERSSTP","2025","2025","05","12","250"
"2","525-HARRISONAV2P","2025","2025","99","1","135650"
"2","525-HARRISONAV2P","2025","2025","99","12","116098"
"3","2800-EADSSTP","2025","2025","02","1","20"
"3","2800-EADSSTP","2025","2025","02","3","20"
"3","2800-EADSSTP","2025","2025","02","5","20"
"3","2800-EADSSTP","2025","2025","02","7","20"
"3","2800-EADSSTP","2025","2025","02","9","20"
"3","2800-EADSSTP","2025","2025","02","11","20"
"5","157-ALLLOCATIONS5TH03P","2025","2025","04","1","13009"
"5","157-ALLLOCATIONS5TH03P","2025","2025","04","2","12306"
"5","157-ALLLOCATIONS5TH03P","2025","2025","04","3","12982"
"5","157-ALLLOCATIONS5TH03P","2025","2025","04","4","14801"
